EventId,EventTemplate,Occurrences
c24a246b,Moving to Downstream Frequency <*> Hz.,45
1647cffb,BcmCmDocsisCtlThread:: Reset: ( CmDocsisCtlThread ) DefaultSnmpAgentClass:: RestartPendingEvent for Vendor CM Agent w/ BRCM Factory Support,54
bb174cf7,Received RG Event <*> State <*>,209
d1e3d1e2,eRouter Linux WAN Down,164
2134d0eb,eRouterMsgPipe:: UpdateIpNetToMediaEntry: ( eRouterMsgPipe ) eRouter IP address:<*>,164
a96d7974,Stopping DHCP/ToD/TFTP ( client requested )...,83
375d1054,BcmEcosIpHalIf:: RemoveIpv6Address: ( IP Stack1 HalIf ) ERROR - Failed to remove IPv6 address<*> from the stack!,83
81c79112,BcmDhcpV6ClientIf:: ReleaseAddresses: ( DHCPv6 ClientIf for IP Stack1 ) ERROR - IA state is initial; there is no address to release.,83
e75c8a0b,BcmDocsis3DsMacEnableMulticastDsidForwarding <*>; primary DS = <*>,123
b92e78a3,SCQAM DSID filter control = <*>,124
a5d1e3f3,OFDM DSID filter control = <*>,123
11303e8a,Deleting DOCSIS <*> CoS Settings for SID <*>,83
0552414d,"BcmDocsisCmHalIf:: DeleteAllServiceFlows: ( DOCSIS CableModem HalIf ) Deleting all Upstream and Downstream Service Flows, along with associated Classifiers and PHS rules...",83
0e9b2f8a,BcmCmDocsisCtlThread:: ResetRngState: ( CmDocsisCtlThread ),83
d1343ddf,BcmDocsisCmHalIf:: SetPrimarySid: ( DOCSIS CableModem HalIf ) Setting the Primary SID for usHwChannel <*> to <*>,984
6c29eb6c,Updating US chan <*> data Profile test msg for Sid: <*>.,642
c72b4032,BcmSetDocsis31CmtsRegistration:Setting Docsis3TransmitMode= false,83
e6c3cf06,"BcmCmMultiDsHelper:: PreRegDsChanChange:, target freq hz = <*>, reason string = <*> CmInitReason = <*>",72
81efa4f2,Starting DS scanning at <*> Hz...,59
7198d92c,BcmCmDownstreamScan:: StartScan: Starting DS scan,72
d0eb110b,Scanning <*> MHz PLC/SC-QAM ( <*> ),12
d9b891c6,Scanning <*> MHz PLC/SC-QAM ( Non-vol happy-home ) locked <*>,5
db028621,BcmCmDsChan:: DsLockOk: ( BcmCmDsChan <*> ) hwRxId= <*> freq= <*> dcid= <*>,1637
0a74856c,"DOWNSTREAM STATUS, HW Channel ID = <*>, Phy type: SC-QAM, DS active chan settings:, ds chan id = <*>, center freq, Hz = <*> Hz, primary capable = false, status event rpt bitmask = <*>",33
0ccd35eb,"CM HW Detected DS Phy Settings:, Center Freq, Hz = <*>, QAM = Locked, FEC = Locked, Carrier Freq Offset, kHz = <*>, Channel Width, Hz = <*>, Modulation = Qam256, Interleaver = Taps12Incr17, Symbol Rate, sym/sec = <*>",33
c80426c6,BcmCmMacDomainSetsState:: StartDsMacMddInit:,54
9d0b9629,Waiting for MDDs...,54
01808f7c,BcmCmDocsisCtlMsgACT:: HandleEvent() @time= <*> event_code= <*> ( <*> ),102
68d6ee27,MDD diplexer band edges specified.,51
c3680a32,Requested Spectrum = US:( <*> MHz.. <*> MHz ) DS:( <*> MHz.. <*> MHz ),51
fb03608d,Best Match = <*>: US:( <*> MHz.. <*> MHz ) DS:( <*> MHz.. <*> MHz ) ( ACTIVE ),47
c61ea93f,Switchable diplexer ECN support disabled. NOT switching diplexer.,51
8bfcca2a,"BcmCmMdDsSgDiscState:: TrimSgSetWithoutThisDcid:, <*> candidate MD-DS-SG remain after TrimSgSetWithoutThisDcid( target_dcid ), for target_dcid= <*> ( <*> )",51
522d2997,"BcmCmMdDsSgDiscState:: StartMdDsSgDisc:, special case: one and only one MD-DS-SG contains mdd_dcid., fMdDsSgId= <*> ( <*> )",51
a877c3a3,"MD-DS-SG discovery info:, fCmMdDsSgDiscState = <*> ( <*> ), fMdDsSgId = <*> ( <*> ), fMdDsSgDiscovered = <*>",51
c45210bc,"Trimmed Downstream Ambiguity Resolution Frequency List: list size = <*>, <*>-sc_qam, visible dcid set = <*>, freq with visible dcid set = <*>",3
7c3b016e,BcmSetDocsis31CmtsRegistration:Setting Docsis3TransmitMode= true,51
b5e4fae1,BcmDocsisCmHalIf:: SetPrimaryDownstreamChannel: ( DOCSIS CableModem HalIf ) Installing primary downstream channel index: <*>,52
2c5a73b0,SetRatios called with primary downstream channel number = <*>,52
2f643572,AnnexMode[ <*> ] = <*> QAM_Mode[ <*> ] = <*>,31
d7b69815,Num/Den = <*>/ <*>,52
84faf7ab,... TCOFDM - DTR is now locked.... ( T2= <*> ms Sync= <*> ),57
5950ea7c,"Given a <*> MHz TCOFDM clock, the nominal value for the DTR FCW is <*>",57
68124fd1,"The DTR FCW is <*> - that value is good ( <*>, within <*> ppm )",57
861616bc,Kicked off the DPLL,39
3792cc50,LE Done bit was set,78
1d525e84,SCQAM DS clock source.,31
28afb5b1,PLL in Leaky mode.,52
d47c72bf,"PLL Fn = <*>, k1 = <*>, k2 = <*>",52
a645dec3,"BcmCmMultiUsHelper:: StartPreRegUsInit: ( Cm Multi US Helper ), targeting context= <*> ( <*> )",51
5372aba0,BcmCmMultiUsHelper:: StartPreRegUsInit: ( Cm Multi US Helper ) Locked on the downstream. Waiting for UCDs...,51
7e9b9cd5,"BcmCmMultiUsHelper:: TmUcdRxTimerEvent: ( Cm Multi US Helper ), ucd gathering ok.",51
