EventId,EventTemplate,Occurrences
c24a246b,Moving to Downstream Frequency <*> Hz.,45
5c8d8fc7,BcmCmDocsisCtlThread:: Reset: (CmDocsisCtlThread) DefaultSnmpAgentClass:: RestartPendingEvent for Vendor CM Agent w/ BRCM Factory Support,54
bb174cf7,Received RG Event <*> State <*>,209
d1e3d1e2,eRouter Linux WAN Down,164
82c29455,eRouterMsgPipe:: UpdateIpNetToMediaEntry: (eRouterMsgPipe) eRouter IP address: <*>,164
6d29ad69,Stopping DHCP/ToD/TFTP (client requested)...,83
e581ab27,BcmEcosIpHalIf:: RemoveIpv6Address: (IP Stack1 HalIf) ERROR - Failed to remove IPv6 address <*> from the stack!,83
3a5a201a,BcmDhcpV6ClientIf:: ReleaseAddresses: (DHCPv6 ClientIf for IP Stack1) ERROR - IA state is initial; there is no address to release.,83
e75c8a0b,BcmDocsis3DsMacEnableMulticastDsidForwarding <*>; primary DS = <*>,123
b92e78a3,SCQAM DSID filter control = <*>,124
a5d1e3f3,OFDM DSID filter control = <*>,123
11303e8a,Deleting DOCSIS <*> CoS Settings for SID <*>,83
3d12a5b2,"BcmDocsisCmHalIf:: DeleteAllServiceFlows: (DOCSIS CableModem HalIf) Deleting all Upstream and Downstream Service Flows, along with associated Classifiers and PHS rules...",83
a5cbfcd7,BcmCmDocsisCtlThread:: <*> (CmDocsisCtlThread),90
4116320a,BcmDocsisCmHalIf:: SetPrimarySid: (DOCSIS CableModem HalIf) Setting the Primary SID for usHwChannel <*> to <*>,984
6c29eb6c,Updating US chan <*> data Profile test msg for Sid: <*>.,642
222ede70,BcmSetDocsis31CmtsRegistration:Setting Docsis3TransmitMode= <*>,134
e6c3cf06,"BcmCmMultiDsHelper:: PreRegDsChanChange:, target freq hz = <*>, reason string = <*> CmInitReason = <*>",72
81efa4f2,Starting DS scanning at <*> Hz...,59
7198d92c,BcmCmDownstreamScan:: StartScan: Starting DS scan,72
44022991,Scanning <*> MHz PLC/SC-QAM <*>,12
9bfd10f0,Scanning <*> MHz PLC/SC-QAM (Non-vol happy-home) locked <*>,5
40470d52,BcmCmDsChan:: DsLockOk: (BcmCmDsChan <*>) hwRxId= <*> freq= <*> dcid= <*>,1637
0a74856c,"DOWNSTREAM STATUS, HW Channel ID = <*>, Phy type: SC-QAM, DS active chan settings:, ds chan id = <*>, center freq, Hz = <*> Hz, primary capable = false, status event rpt bitmask = <*>",33
